Character,Quote
dale,"RT @TrumpFan2017012: #itsriskyto get married 

https://t.co/2LRZqhosms https://t.co/nJwYLyYvif"
dale,"RT @Maryland4Trump: As a young lawyer, #HillaryClinton prevented an admitted child molester from receiving justice &amp; laughed about it on ta…"
dale,"""We're really in a pussy generation"" ~ Clint Eastwood https://t.co/AwSUTyjuKs"
dale,RT @PowerTVFans: KUDOS to @jerryferrara &amp; @OmariHardwick who has been AMAZING as Proctor and Ghost 🙏✊🙌 https://t.co/BgHqLBT44j
dale,RT @PowerMusicTeam: How To Inspire People With Your Music! https://t.co/9eoMhctrtj https://t.co/mqjjqsgBtm
dale,"RT @NolteNC: Just curious...

For months we've been getting leaked info from phone calls

Now we're told no tap

so all those stories were…"
dale,"RT @DominicValent: ""#MySaturdayNightIn4Words"
dale,RT @deepnxss: i miss you and the way you understood me
dale,"RT @CtrlSec: Targeted #ISIS accounts
https://t.co/3J7qcjL86n
https://t.co/AhH9wV0dQn
https://t.co/vKk8EgivR9
#targets #iceisis #opiceisis"
dale,"RT @JaredBeck: Let's be clear: you're a traitor, a coward, not progressive, and quite the fraud yourself. https://t.co/0nVvQesP9q"
dale,RT @phatandy: #2016In4Words Good gosh all mighty.
dale,RT @JayZ_LyricsPage: Ever wondered what the color on your toothpaste means? Here you go: https://t.co/magOGT8x3V
dale,RT @KarmaKinetics: #SurvivalGuideToThanksgiving bringing my lil friend. Who's got something to say now bitches !! https://t.co/PT0ZzHq0j4
dale,RT @davethedave_: BRB - Brunch's Ready Bro' #AlternativeAcronymInterpretations
dale,"RT @koifresco: let's be real, nothing beats smiling at a stranger &amp; watching them smile back."
dale,Convert the Horn of Plenty into a bong #SurvivalGuideToThanksgiving
dale,"RT @gerfingerpoken: (IBD) Obama's rogue IRS strikes deal w/ FFRF to 'monitor' churches, not mosques: https://t.co/LB2lBiNpmQ - #PJNET - htt…"
dale,RT @Jenn_Abrams: @Politweecs #ThingsBidenThinkingOf
dale,RT @gerfingerpoken2: (IBD) Hillary Rodham Nixon - Even He Didn't Destroy The Tapes  - https://t.co/eTZNFsuefU - #IBDeditorials - https://t.…
dale,RT @craigflynn1: 50 shades broker #ValentinesDayIn3Words
dale,RT @JaywanInc1: Lotto Savage (@LottoSavage21) – “Don Slaughter 2” [Mixtape] was just added to the Daily Grind at:  https://t.co/ielMMAz0lj…
dale,"https://t.co/WpohPekFlB yeah, man)))"
dale,"RT @AbbyMartinM: Obama’s First Stop After Leaving Office: Palm Springs, CA–Still Flying on Air Force One https://t.co/aW6uWwHPVW https://t.…"
dale,RT @IndyEnigma: Tyre King’s friend: https://t.co/NIO9goOasA He had a BB gun and wanted to rob someone #ccot #dems #gop #ocra #ofa #p2 #tcot…
dale,"RT @rejialex7: Islam-- greatest threat for Christianity,Every 6 minutes, a Christian is slaughtered by Muslims..😡😡😡 https://t.co/mw08wN8icY"
dale,"Американский политический беженец поздравляет Обаму с днем рождения из Санкт-Петербурга
https://t.co/tOpklObwYE"
dale,Just landed in #Manchester #NewHampshire with @realDonaldTrump #MakeAmericaGreatAgain #TrumpForPresident
dale,RT @JeffPetroff: #RuinADinnerInOnePhrase both precooked AND prechewed stew!
dale,RT @googergieger: Even #ChildrenThinkThat Trump is immature.
dale,RT @MarlonWayans: Can Trump get along with anybody? Why are we beefing with everyone
dale,RT @AzaniaJustice: #Clinton postpones Weather Channel ads in #Florida https://t.co/AaHoGkEp1s
dale,RT @wspiv001: I had seen excerpts but finally listened to Michelle Obama's entire speech today in New Hampshire. Powerful!... https://t.co/…
dale,RT @Echecrates: He will fight for her. Lie for her. Steal for her. For she is worthy of all that and more.
dale,"Hillary's arrogance costed her the election. The price she's gonna pay next is a lot higher 
#DeplorablesForTrump https://t.co/Y7ixfVZfdi"
dale,"RT @The_Sad_Atheist: @mugsbubs1 @Tomscience1 @joles4019 Food
#Aquaponics 
#RegenVillage"
dale,"RT @13013B: Students pay $60K/year to attend a college that’ll suspend them over a joke. #1A 
https://t.co/6YA5nym4vg"
dale,RT @walidshoebat: What The Media Is Not Telling You: Turkey Is Not Fighting ISIS. Turkey Is Using ISIS To… https://t.co/WrRfuFzGpo https://…
dale,"RT @elmash16: .@exjon #InHonorOf MM2 Joseph Ashley who died aboard my old boat, USS San Francisco, off Guam, 8 JAN 2005. https://t.co/Gs3qi…"
dale,"RT @peddoc63: History has shown📙
Crossing #CrookedHillary is hazardous to your health⚠️ https://t.co/esjJ4dT3Vt"
dale,"""I'll take a bullet before u, that's for damn sure. #prayforsanbernadino #Guns4NY"
dale,"RT @pzf: HAPPENING NOW - BREAKING: Iraqi officials: Gunmen attack Baghdad mall, killing 10 and taking hostages."
dale,The customer comment board at Five Guys Burgers
dale,Watch &amp; spread the word of this amazing independently thinking young lady 👉@TemiaBrinson: 'Have you voted yet? Get… https://t.co/d2Iajj26Ki
dale,RT @foxnewsvideo: #Iran sensing that @WhiteHouse is 'desperate' for a nuclear deal? @HappeningNow  @Jennafnc  | http://t.co/mDU7R5EyKv
dale,"RT @ChristiChat: #SickHillary can be defined so many ways:

sick=ailing
sick=cruel
sick=corrupt
sick=diseased
sick=delusional
sick=nauseati…"
dale,"RT @TrueCharLen: I think I'm going to infiltrate the Democratic Party guys, what do you think?"
dale,RT @CreaghB: There is  a reason many women died in childbirth many yrs ago #prenatalcare why do we want to take steps backwards https://t.c…
dale,RT @songbirdcd: The Untold Story of Violent Muslim Opinions (Graphic Warning) - @IsraelVideos https://t.co/6Kv3MvPIMN
dale,"RT @TeamTrump: Republican boss: Trump is 'capturing America'          
https://t.co/gNcwhUkHiV"
dale,#Merkel hilft den Flüchtlingen #Merkelmussbleiben #girlstalkselfies
dale,RT @WeWhoDieSaluteU: @Portosj81 @RogerOlivieri I'm sure the Pals will invest heavily in humanitarian tunnels &amp; medical rockets
dale,"RT @RiepTide1999: Reflections of society in literature 
#RejectedDebateTopics"
dale,"RT @DATSLifePodcast: Whilst the New Years Special continues to be edited, listen to last years instead! https://t.co/V25D1Lw9xv #podcast #c…"
dale,Mad About Yukon #MakeTVShowsCanadian
dale,RT @kentpg: • Pro-Abortion Group  Emily’s List Spends $60 Million to Elect Hillary Clinton and These Abortion  Activists
dale,RT @beforeitsnews: CBD Ban? DEA Tries to Reclassify Non-THC Cannabis Oil as Schedule 1 https://t.co/0AH01FFMj7 https://t.co/xKkPQlZQDw
dale,"RT @100PercFEDUP: New post: 1,000 MUSLIMS BLOCK STREETS Chanting “Allahu Akbar” To Demand Islamic Caliphate…Take Notes America! https://t.c…"
dale,RT @JackCarrWasHere: #MeanGirlsRules https://t.co/dqM2tj3NJ3
dale,RT @kronk64: #RealLifeMagicSpells trading places with my cat when I want to eat and take a nap https://t.co/8N7NEroEN8
dale,"RT @Morty_Fied: Pardon my free speech but fuckin' A - he's approaching 90,000 viewers on Facebook. Donald Trump in Sanford, FL.… "
dale,"RT @RobertPercin: #BernieSanders failed you. 

#DrainTheSwamp--Vote Trump👌🏻 https://t.co/lQ4aDugmiw"
dale,Indiana Jones und die Umwelt des Todes #Klimafilme
dale,"Justs some statistic: 
Police arrested 140 peaceful protestors - largest arrest in 2 months. 
#NoDAPL https://t.co/iWICjdmF9a"
dale,RT @mcspocky: Conservatives really hate America https://t.co/50rNX1VZun #UniteBlue #TopProg #LibCrib #p2 #tcot #GOPHatesAmericans https://t…
dale,"RT @genvruiz: Women should be punished for being Pro-Choice.
#MakeMeHateYouInOnePhrase https://t.co/hYNdHj9imc"
dale,"RT @DnDrea__: Tah-Dah! Turkey's done.

 #RealLifeMagicSpells"
dale,RT @golubeerji: #2016In4Words It could've been better.
dale,It's hard to believe people think this stuff is real http://t.co/5mrL3qi2p1
dale,"RT @dmon4ever: Incredible, Colin Powell is right. Her hubris on full display. Who connected them #hILLary?

https://t.co/XAxmBc2Hkq https:/…"
dale,RT @Sirrruh: Eating more #My2017Resolution
dale,"RT @lausitzman: Frau #Merkel verschonen Sie die Deutschen mit Ihrer #Neujahrsansprache! Nutzen Sie die Zeit, um sich in Grund &amp; Boden zu sc…"
dale,Schönen #Samstagabend meine Liebe! https://t.co/0nyY9FmVnS
dale,#IReallyLikeYouBut I'll have to restrain order you
dale,"RT @HillaryClinton: We need to build bridges, not walls. Add your name if you agree! https://t.co/ukYiNGYw7u"
dale,"RT @dcgilltx: OOPS!!!! Top official overseeing nuclear deal unsure where Iran's enriched uranium is stored
https://t.co/AIjwlNJIPk #tcot #t…"
dale,RT @SunTimesHNL: #Health — #Hawaii physicians encouraged to be on lookout for #MERS — http://t.co/EsXlkKMbLp #808News
dale,RT @EllenTrailerDog: Stop lying about my good intentions #My2017Resolution
dale,#ObamasLegacy is disarming American citizens and arming jihadist fanatics... who want to kill American citizens! https://t.co/dyVJw1pjvt
dale,RT @Girls4urtrump: VIDEO : More Proof That Hillary Clinton Started the “OBAMA BIRTHER” Movement https://t.co/VMUtVyAxWQ https://t.co/MiXFP9…
dale,"RT @TrumpDynastyUSA: .@realDonaldTrump
We are #TrumpStrong
A MIGHTY VOICE!🇺🇸
#TrumpPence16 #TrumpTrain #Women4Trump #Latinos4Trump #MAGA ht…"
dale,"RT @EMA_radio1: ""Now I just refocus that energy (by) helping other women"" Yolanda from @Businessbabes https://t.co/FHVqTj9lij"
dale,RT @Politweecs: Lawmakers encourage #Obama to select a progressive new DEA chief #druglaws http://t.co/Qny0JHayRo
dale,Sie kann in hitzigen Debatten die Gemüter beruhigen. #Merkelmussbleiben
dale,RT @TrumpVsHilary: #trump #america #elections #HilaryClinton
dale,RT @Donald4Change: @railgirl1952 @cnn @HillaryClinton acted like she could care less made a PC statement &amp; went back to sleep. We're lucky…
dale,RT @AidanMUFC_: #PrayForBrussels https://t.co/FUBJjswVWE
dale,#StonedComicBooks @midnight   Flick Spacey
dale,RT @TheIJR: We're live with @RepRooney on https://t.co/Lvk44mvcj1 #JointAddress https://t.co/PvUGnHPVQ6
dale,Danish party urges Americans to vote with spinning Trump ad https://t.co/YprUsOgBlr
dale,And also today we pray for St. Petersburg https://t.co/BTCbNT4GVs
dale,"RT @trueblackpower: Don't be fooled we all have something to contribute as a people, we have skills and talents. It is time to encourage ea…"
dale,"RT @MichiganOnBTN: If you see a guy dressed in this Block 〽 jacket and matching pants tomorrow, it will be DC reporter @shomaristone. https…"
dale,RT @dontfup: Did Hillary Clinton fudge a detail in her LSAT recollection? https://t.co/65nglBc96o via @ABAJournal
dale,@realDonaldTrump @mike_pence 👏👏👏
dale,RT @irritatedwoman: President Obama makes unscheduled Sunday evening visit to Great Falls Park http://t.co/1jeKJA2HWp
dale,RT @AnnCoulter: But she swoons over Obama who's had 4+ months &amp; hasn't done anything about Flint's water- https://t.co/qk2BiDLu14 https://t…
dale,"RT @preciousliberty: ANGRY #BLACK #TRUMP SUPPORTER: Why I'm voting for Trump https://t.co/7a0HaZTn9e

#TrumpTrain #BlackTwitter #BlacksForT…"
dale,RT @SeldenGADawgs: @trump2016fan I blame @Reince &amp; @GOP for being THIS stupid to allow AGAIN such far left nuts to do prez debates; even be…
dale,RT @KatieCVFowler: @Poisonillusion @ReneeMarcelle0 Can you quickly explain what is happening to twitter? I have complained for days because…
dale,RT @GirlCodeAPage: i am running out of people I actually like
dale,"No, Hillary! You can't #DEMNDebate https://t.co/drCVJ7AlhV"
dale,"RT @KazeSkyz: .@Acosta then stop reporting #FakeNews
https://t.co/R4LnBWMbpE"
dale,RT @ShrekBane: Well show them by depriving ourselves of education! That'll teach em a lesson! https://t.co/4FDCg1rv4P
dale,"RT @FeministaJones: How did the ""Hillary Clinton is a warmongerer"" rhetoric start? Anyone have a specific pinpoint like an article or somet…"
dale,"RT @KamVTV: SoCal #MAGA3X Overpass Flash Mob TOMORROW! 
#MakeAmericaGreatAgain #TrumpTrain #Reno
#CaliforniaForTrump… "
dale,"RT @CtrlSec: Targeted #ISIS accounts
https://t.co/LLTNGcHJiJ
https://t.co/nMyJtoiuAo
https://t.co/7gMVe8puKl
#targets #iceisis #opiceisis"
dale,The Service has failed so many times so I can`t understand how politicians trust them  #ServiceOfNoSecrets
dale,"RT @scottthong: They said Trump entered the Presidential race just to enrich himself.
It seems they're working hard to prove their point! h…"
dale,"RT @bogiebeagle2: Liberal Babies mad at Jimmy Fallon for having Trump on+""Humanizing a Xenophobe""!Oh,so now,not only are we Deplorable,we'r…"
dale,RT @PhoenixNewsAZ: John McCain: I was ‘surprised’ by Donald Trump’s fury  #politics
dale,"RT @SmartGal4Trump: #Libtards are too dumb to realize that #Shillary started the #birther movement against #Obama.

#EpicFailTvLineUp #birt…"
dale,RT @ObamaBash: Gimme a break!!!Tallulah Willis goes braless while buying smokes in LA https://t.co/fs3VsROcAk via @DailyMailCeleb
dale,RT @GodandtheBear: Another Electoral College Voter Might Reject Clinton https://t.co/HIBJuvTtzz via @intelligencer
dale,Bon Jovi will back Clinton in Pittsburgh appearance next week https://t.co/uSvIECYETZ
dale,RT @brentwood03: Naps #ShouldBeAllowedAtWork
dale,#ThingsYouCantIgnore The sound of a dripping faucet.
dale,Donald Trump Slams Hillary Clinton Over ‘Deplorables’ Remark  #politics
dale,RT @DineshDSouza: The same folk trying to keep Trump out of the White House fought to keep Bill Clinton in it even after he exposed himself…
dale,#TopVideo Clinton promises to hold Wells Fargo accountable https://t.co/0rX4BwTTPD
dale,R 2 Legit D 2 Quit. #RobotHipHop @midnight
dale,RT @IntelGroupNews: Why Did Microsoft Wait Six Months To Patch a Critical Word Zero-Day? | #IntelGroup  https://t.co/it9arUfJC9
dale,RT @LauraWalkerKC: How the media internalized Donald Trump's abysmally low standards https://t.co/gFKhWGJu1o
dale,RT @really_huh: #ihavearighttoknow why 60% of the TV shows I enjoy get cancelled after 1 or 2 seasons 😭
dale,"RT @hipEchik: They are not even sly about it ""Californians and New Yorkers, you are not welcome here.""  Fine then, I shan't move where I'm …"
dale,RT @Christy111575: #ToAvoidWorkI claim I have anal glaucoma. I can't see my azz coming into work today. https://t.co/mDh8KrIbJy
dale,Person 1: I am being oppressed
dale,"RT @Nate_Cohn: Hard to argue against an audit/recount if the president-elect asserts, without any evidence, that were millions of illegal v…"
dale,RT @CheriJacobus: Trump will get us all killed. He's a madman. https://t.co/gBNGtHGIBA
dale,"RT @PrisonPlanet: This is what mass hysteria looks like.

SHARE: https://t.co/dfbSElVArq https://t.co/UYAWJKkkeD"
dale,@RNRMaryland Thank you too!
dale,RT @HotNewHipHop: Hood Pope https://t.co/yOiCKVHvYR
dale,RT @58Bjh: @fredwimpy Yep. They want to hurt themselves. Their business. Good thing innocent didn't get hurt. But these guys do care. Not l…
dale,#RealLifeMagicSpells Netflixius and chillius - we all know what that means
dale,"""We Should Only Admit Into This Country, Those Who Share our Values &amp; Respect, Our Country."" ~ Donald Trump https://t.co/E95cZgzPjn"
dale,#AltRightMeans experiencing cognitive dissonance caused by people supporting LGBT community and Islam simultaneously https://t.co/qaYIBSl5P6
dale,Crazy Ex-Milkmaid #CowTV @midnight
dale,"RT @nbcsandiego: Handouts at San Diego Catholic church imply Clinton is Satanic, say voting Democratic is a 'mortal sin':… "
dale,"RT @NickDeBabylon: ""@amandacarpenter: Not tweeting tonight. Soaking in the history of everything. Watching every second"" https://t.co/sBusb…"
dale,"„Wenn wir #Atomwaffen haben, warum setzen wir sie nicht ein?“ Amerikaner dürfen ja alles!😉 #Trump https://t.co/lgEgZOt5z9"
dale,"RT @Harlan: WSJ: Hillary now wants to raise death tax to 65%. Previously she wanted 45%.

Trump wants to eliminate it.

https://t.co/yh1cHK…"
dale,RT @DVS_Lee: I #HateToEatAndRun it's hard to keep food on a plate whilst running.
dale,"RT @ElVatoTeporocho: Pay 70K for college

""White people should die""
""Men are toxic and evil""
""disagreement with these views, you'll be expe…"
dale,RT @eB2B_entertain: The Worst SEO Techniques You Need To Stop Now https://t.co/Rh37RN4DGF https://t.co/KxI9TOcSuE
dale,RT @BlackJesuscom: #msnbc #morningjoe #Trump was granted five draft deferments during the Vietnam War https://t.co/lB4yA8oUWZ
dale,RT @Dizzypam: @Elena07617349 @lovekeels @English_Pitbull @TRobinsonNewEra @lilyallen in the playground on the m5
dale,"RT @LefLaneLivin: @tyrone345345 @MsElectLadyKim As Stokley Carmichael told us over and over again "" We must do it ourselves"""
dale,"RT @CattHarmony: Oh, snap...

Literally... https://t.co/mL6z6TdzBV"
dale,"RT @FPRNRadio: By The Rundown Live Last month, video from a white nationalist conference in Washington, D.C. went viral. The... https://t.c…"
dale,"RT @RobPulseNews: Today in 1939, Nazi Germany &amp; USSR invade Poland
Photo shows German &amp; Soviet troops shaking hands following invasion http…"
